                       	strsep
Length   20/5, alignment  0/ 9, fail:	88.344
Length   20/5, alignment  0/15, found:	83.4785
Length   20/5, alignment  0/15, fail:	90.2405
Length   20/5, alignment  3/ 0, found:	81.7964
Length   20/5, alignment  3/ 0, fail:	95.729
Length   20/5, alignment  3/ 3, found:	81.1528
Length   20/5, alignment  3/ 3, fail:	90.7646
Length   20/5, alignment  3/ 9, found:	81.1177
Length   20/5, alignment  3/ 9, fail:	90.6775
Length   20/5, alignment  3/15, found:	83.8296
Length   20/5, alignment  3/15, fail:	88.3438
Length   20/5, alignment  9/ 0, found:	82.918
Length   20/5, alignment  9/ 0, fail:	88.3237
Length   20/5, alignment  9/ 3, found:	83.353
Length   20/5, alignment  9/ 3, fail:	88.3416
Length   20/5, alignment  9/ 9, found:	83.2588
Length   20/5, alignment  9/ 9, fail:	90.3877
Length   20/5, alignment  9/15, found:	81.8025
Length   20/5, alignment  9/15, fail:	90.1548
Length   20/5, alignment 15/ 0, found:	83.0354
Length   20/5, alignment 15/ 0, fail:	88.3076
Length   20/5, alignment 15/ 3, found:	81.1138
Length   20/5, alignment 15/ 3, fail:	88.3645
Length   20/5, alignment 15/ 9, found:	83.2776
Length   20/5, alignment 15/ 9, fail:	88.3621
Length   20/5, alignment 15/15, found:	83.4097
Length   20/5, alignment 15/15, fail:	90.3113
Length   25/5, alignment  0/ 0, found:	82.3188
Length   25/5, alignment  0/ 0, fail:	95.7444
Length   25/5, alignment  0/ 3, found:	82.3469
Length   25/5, alignment  0/ 3, fail:	95.3835
Length   25/5, alignment  0/ 9, found:	82.1245
Length   25/5, alignment  0/ 9, fail:	96.676
Length   25/5, alignment  0/15, found:	85.0291
Length   25/5, alignment  0/15, fail:	92.2214
Length   25/5, alignment  3/ 0, found:	84.125
Length   25/5, alignment  3/ 0, fail:	94.165
Length   25/5, alignment  3/ 3, found:	81.6121
Length   25/5, alignment  3/ 3, fail:	94.8979
Length   25/5, alignment  3/ 9, found:	82.4395
Length   25/5, alignment  3/ 9, fail:	95.1182
Length   25/5, alignment  3/15, found:	82.4902
Length   25/5, alignment  3/15, fail:	95.2041
Length   25/5, alignment  9/ 0, found:	93.5891
Length   25/5, alignment  9/ 0, fail:	92.165
Length   25/5, alignment  9/ 3, found:	92.5139
Length   25/5, alignment  9/ 3, fail:	95.3545
Length   25/5, alignment  9/ 9, found:	91.0269
Length   25/5, alignment  9/ 9, fail:	95.468
Length   25/5, alignment  9/15, found:	92.9045
Length   25/5, alignment  9/15, fail:	92.2659
Length   25/5, alignment 15/ 0, found:	84.3533
Length   25/5, alignment 15/ 0, fail:	95.4153
Length   25/5, alignment 15/ 3, found:	82.4863
Length   25/5, alignment 15/ 3, fail:	95.1353
Length   25/5, alignment 15/ 9, found:	82.2583
Length   25/5, alignment 15/ 9, fail:	95.686
Length   25/5, alignment 15/15, found:	82.4817
Length   25/5, alignment 15/15, fail:	95.5535
Length   30/5, alignment  0/ 0, found:	103.528
Length   30/5, alignment  0/ 0, fail:	99.8113
Length   30/5, alignment  0/ 3, found:	87.5164
Length   30/5, alignment  0/ 3, fail:	102.519
Length   30/5, alignment  0/ 9, found:	85.2627
Length   30/5, alignment  0/ 9, fail:	102.573
Length   30/5, alignment  0/15, found:	87.3315
Length   30/5, alignment  0/15, fail:	100.183
Length   30/5, alignment  3/ 0, found:	87.5361
Length   30/5, alignment  3/ 0, fail:	101.781
Length   30/5, alignment  3/ 3, found:	86.1558
Length   30/5, alignment  3/ 3, fail:	101.85
Length   30/5, alignment  3/ 9, found:	87.4346
Length   30/5, alignment  3/ 9, fail:	100.125
Length   30/5, alignment  3/15, found:	87.5103
Length   30/5, alignment  3/15, fail:	100.154
Length   30/5, alignment  9/ 0, found:	85.2529
Length   30/5, alignment  9/ 0, fail:	101.655
Length   30/5, alignment  9/ 3, found:	85.2522
Length   30/5, alignment  9/ 3, fail:	102.182
Length   30/5, alignment  9/ 9, found:	86.1606
Length   30/5, alignment  9/ 9, fail:	102.451
Length   30/5, alignment  9/15, found:	87.8489
Length   30/5, alignment  9/15, fail:	100.06
Length   30/5, alignment 15/ 0, found:	87.5618
Length   30/5, alignment 15/ 0, fail:	101.84
Length   30/5, alignment 15/ 3, found:	86.1433
Length   30/5, alignment 15/ 3, fail:	101.661
Length   30/5, alignment 15/ 9, found:	88.1328
Length   30/5, alignment 15/ 9, fail:	100.064
Length   30/5, alignment 15/15, found:	87.9275
Length   30/5, alignment 15/15, fail:	101.945
Length   35/5, alignment  0/ 0, found:	87.3369
Length   35/5, alignment  0/ 0, fail:	106.423
Length   35/5, alignment  0/ 3, found:	89.0085
Length   35/5, alignment  0/ 3, fail:	104.237
Length   35/5, alignment  0/ 9, found:	89.219
Length   35/5, alignment  0/ 9, fail:	106.547
Length   35/5, alignment  0/15, found:	87.4099
Length   35/5, alignment  0/15, fail:	106.711
Length   35/5, alignment  3/ 0, found:	94.825
Length   35/5, alignment  3/ 0, fail:	104.52
Length   35/5, alignment  3/ 3, found:	94.562
Length   35/5, alignment  3/ 3, fail:	106.706
Length   35/5, alignment  3/ 9, found:	92.8787
Length   35/5, alignment  3/ 9, fail:	106.752
Length   35/5, alignment  3/15, found:	95.28
Length   35/5, alignment  3/15, fail:	105.069
Length   35/5, alignment  9/ 0, found:	88.9709
Length   35/5, alignment  9/ 0, fail:	106.533
Length   35/5, alignment  9/ 3, found:	87.531
Length   35/5, alignment  9/ 3, fail:	106.177
Length   35/5, alignment  9/ 9, found:	89.4819
Length   35/5, alignment  9/ 9, fail:	104.528
Length   35/5, alignment  9/15, found:	89.3291
Length   35/5, alignment  9/15, fail:	106.371
Length   35/5, alignment 15/ 0, found:	87.3784
Length   35/5, alignment 15/ 0, fail:	106.248
Length   35/5, alignment 15/ 3, found:	89.2991
Length   35/5, alignment 15/ 3, fail:	104.497
Length   35/5, alignment 15/ 9, found:	89.2551
Length   35/5, alignment 15/ 9, fail:	106.537
Length   35/5, alignment 15/15, found:	87.062
Length   35/5, alignment 15/15, fail:	106.82
Length   24/6, alignment  0/ 0, found:	83.1484
Length   24/6, alignment  0/ 0, fail:	95.8882
Length   24/6, alignment  0/ 3, found:	83.0852
Length   24/6, alignment  0/ 3, fail:	95.8552
Length   24/6, alignment  0/ 9, found:	85.6233
Length   24/6, alignment  0/ 9, fail:	94.1284
Length   24/6, alignment  0/15, found:	85.1826
Length   24/6, alignment  0/15, fail:	96.1445
Length   24/6, alignment  3/ 0, found:	82.9749
Length   24/6, alignment  3/ 0, fail:	95.7678
Length   24/6, alignment  3/ 3, found:	84.8359
Length   24/6, alignment  3/ 3, fail:	93.9705
Length   24/6, alignment  3/ 9, found:	84.708
Length   24/6, alignment  3/ 9, fail:	94.8262
Length   24/6, alignment  3/15, found:	85.0283
